INDEX	FEATURE	IMPORTANCE	REPRESENTATIVENESS	SPECIFICITY	CONTEXT
159	<SOS>sikkert/sikkert<EOS>	0.04	1	21	
160	<SEP>natu	0.04	1	47	natur/natur(0.2) naturlig/natuli(0.2) naturen/natuurn(0.2) naturen/naturn(0.1) below_threshold(0.3)
161	<SOS>så/så<SEP>og/å<EOS>	0.04	1	45	
162	<SEP>dåkk	0.04	1	52	dere/dåkker(0.6) dere/dåkke(0.2) dere/dåkk(0.2) deres/dåkkeʂ(0.0) below_threshold(0.0)
163	sæl	0.04	1	52	særlig/sæli(0.2) selv/sæll(0.2) selve/sællve(0.0) solgte/sællte(0.0) selger/sæll(0.0) selge/sæll(0.0) below_threshold(0.4)
164	stre	0.04	0	25	stress/stress(0.1) below_threshold(0.9)
165	<SEP>gutt	0.04	0	27	guttene/guttan(0.3) gutter/gutta(0.2) gutt/gutt(0.2) below_threshold(0.3)
166	<SOS>se/se<EOS>	0.04	1	55	
167	arrti	0.04	1	49	artig/arrti(0.8) kjempeartig/çæmmpearrti(0.0) below_threshold(0.1)
168	<SOS>snakka/snakka<EOS>	0.04	0	45	
169	<SEP>åi	0.04	0	26	oi/åi(1.0) below_threshold(0.0)
170	uti	0.04	1	31	uti/uti(0.4) butikken/butikken(0.2) butikk/butikk(0.1) butikkene/butikkan(0.1) butikker/butikka(0.1) below_threshold(0.2)
171	åver	0.04	3	36	over/åver(0.5) utover/utåver(0.1) oppover/oppåver(0.0) innover/innåver(0.0) overalt/åverallt(0.0) nedover/neåver(0.0) bortover/borrtåver(0.0) sørover/søråver(0.0) soverom/såveromm(0.0) below_threshold(0.2)
172	<SOS>hvis/vess<EOS>	0.04	1	79	
173	mell	0.04	1	35	imellom/imella(0.1) mellom/mellom(0.1) mellom/mella(0.1) mellom/mellåm(0.1) below_threshold(0.6)
174	<SEP>sku	0.04	3	26	skulle/sku(0.9) skulle/skulle(0.0) skuter/skuter(0.0) skummelt/skummelt(0.0) skulle/skull(0.0) skuteren/skutern(0.0) skolen/skuurn(0.0) below_threshold(0.1)
175	ali	0.04	0	31	farlig/fali(0.1) below_threshold(0.9)
176	<SOS>mye/myççe<EOS>	0.04	1	43	
177	<SOS>være/være<EOS>	0.04	1	60	
178	oen	0.04	0	36	noen/noen(0.4) naboen/naboen(0.1) kinoen/çinoen(0.1) below_threshold(0.4)
179	åmmer	0.04	1	47	kommer/kåmmer(0.7) sommer/såmmer(0.1) sommeren/såmmern(0.1) below_threshold(0.1)
180	myççe	0.04	1	43	mye/myççe(1.0) below_threshold(0.0)
181	æs	0.04	4	49	nesten/næsstn̩(0.1) mest/mæsst(0.1) nesten/næssn̩(0.1) neste/næsste(0.0) hest/hæsst(0.0) meste/mæsste(0.0) best/bæsst(0.0) beste/bæsste(0.0) lese/læse(0.0) lest/læsst(0.0) leser/læs(0.0) bestemor/bæsstemor(0.0) bestefar/bæsstefar(0.0) resten/ræsstn̩(0.0) hesten/hæsstn̩(0.0) fest/fæsst(0.0) lese/læs(0.0) motepress/motepræss(0.0) hester/hæssta(0.0) mest/mæss(0.0) fisk/fæssk(0.0) leste/læsst(0.0) bestemora/bæsstemora(0.0) below_threshold(0.3)
182	kall	0.04	1	39	kaldt/kallt(0.2) skal/skall(0.1) kalte/kalla(0.1) kaller/kalle(0.1) kalte/kallte(0.1) kalte/kallt(0.0) kalle/kalle(0.0) kalte/kalle(0.0) below_threshold(0.3)
183	ommar	0.04	0	34	sommer/sommar(0.4) sommeren/sommarn(0.3) below_threshold(0.3)
184	<SEP>kk	0.04	3	46	ikke/kke(1.0) ikke/kk(0.0) below_threshold(0.0)
185	vvd	0.04	1	40	prøvd/prøvvd(0.2) prøvde/prøvvde(0.2) prøvde/prøvvd(0.1) trivdes/trivvdes(0.1) levde/levvde(0.1) opplevd/opplevvd(0.1) below_threshold(0.2)
186	<SOS>ti/ti<EOS>	0.04	0	28	
187	tæl	0.04	1	45	til/tæll(0.2) hotellet/hotælle(0.1) hotell/hotæll(0.1) fortelle/fårtæll(0.1) below_threshold(0.6)
188	<SOS>mange/maŋŋe<EOS>	0.04	2	30	
189	føʂ	0.04	2	51	første/føʂʂte(0.4) først/føʂʂt(0.2) forskjellig/føʂelli(0.0) forskjell/føʂell(0.0) forskjellige/føʂellie(0.0) forstår/føʂtår(0.0) forsto/føʂto(0.0) forskjellige/føʂelli(0.0) forstå/føʂtå(0.0) første/føʂʂt(0.0) forskjell/føʂæll(0.0) below_threshold(0.2)
190	assa<SEP>	0.04	1	34	plasser/plassa(0.3) passa/passa(0.1) plasser/pɽassa(0.1) klasser/klassa(0.1) altså/assa(0.1) below_threshold(0.3)
191	bær	0.04	3	35	bare/bærre(0.6) bare/bære(0.2) bare/bær(0.0) bare/bærr(0.0) bær/bær(0.0) berga/bærrga(0.0) below_threshold(0.2)
192	<SOS>han/ann<EOS>	0.04	1	34	
193	<SEP>lære	0.04	0	41	lære/lære(0.3) lærer/lærer(0.2) lærer/lære(0.1) lærere/lærera(0.1) lærerne/læreran(0.1) below_threshold(0.2)
194	ran<SEP>	0.04	2	61	årene/åran(0.1) derre/dæran(0.1) morgenen/mårran(0.1) her/hæran(0.1) foreldrene/fårelldran(0.0) foreldrene/førelldran(0.0) dyrene/dyran(0.0) lærerne/læreran(0.0) ordene/oran(0.0) åra/åran(0.0) foran/fårran(0.0) herre/heran(0.0) turene/turan(0.0) gårdene/gåran(0.0) herre/hæran(0.0) karene/karan(0.0) herre/herran(0.0) below_threshold(0.4)
195	førr<SEP>	0.04	5	53	for/førr(0.9) før/førr(0.0) utfor/utførr(0.0) below_threshold(0.1)
196	stra	0.04	0	35	ekstra/ækkstra(0.2) søstera/søsstra(0.2) stranda/stranna(0.1) below_threshold(0.5)
197	<SOS>til/till<EOS>	0.04	1	48	
198	<SEP>ennd	0.04	1	36	enda/ennda(0.7) enda/enndå(0.2) below_threshold(0.1)
199	<SEP>spr	0.04	1	41	sprang/spraŋŋ(0.2) språk/språk(0.2) språket/språke(0.2) springe/spriŋŋe(0.1) springe/spreŋŋ(0.0) springe/spriŋŋ(0.0) below_threshold(0.4)
