INDEX	FEATURE	IMPORTANCE	REPRESENTATIVENESS	DISTINCTIVENESS	CONTEXT
137	ræi	0.05	4	30	greit/græit(0.2) reiser/ræise(0.1) reise/ræisa(0.1) greit/græitt(0.1) dreiv/dræiv(0.1) reise/ræise(0.0) reiste/ræiste(0.0) de/ræi(0.0) grei/græi(0.0) reist/ræist(0.0) greie/græie(0.0) skreiv/skræiv(0.0) greier/græie(0.0) dem/ræi(0.0) greier/græier(0.0) breiere/bræiare(0.0) bredt/bræitt(0.0) reine/ræine(0.0) tre/træi(0.0) reiste/ræisste(0.0) greier/græi(0.0) below_threshold(0.3)
138	<SEP>fl	0.05	3	28	flytta/flytta(0.1) flott/flått(0.1) flere/flæire(0.1) fleste/flesste(0.0) flytte/flytte(0.0) flink/fliŋŋk(0.0) flytte/flytta(0.0) flytter/flytte(0.0) flinke/fliŋŋke(0.0) flytta/fløtta(0.0) flott/flåtte(0.0) flink/fliŋŋke(0.0) flotte/flåtte(0.0) fleste/flæsste(0.0) fleste/fleste(0.0) flere/flære(0.0) flere/flere(0.0) flytter/flytta(0.0) fly/fly(0.0) flytta/flytte(0.0) flytta/fløtte(0.0) fler/flæir(0.0) below_threshold(0.3)
139	velld	0.05	4	16	veldig/velldi(0.9) veldig/velldig(0.1) veldig/velldikt(0.0) kveldene/kvelldane(0.0) kvelden/kvelldn̩(0.0) below_threshold(0.0)
140	åde	0.05	1	11	både/både(0.5) måte/måde(0.2) området/ommråde(0.1) område/ommråde(0.0) fordi/fåde(0.0) området/åmmråde(0.0) below_threshold(0.1)
141	<SEP>sikk	0.05	2	16	sikkert/sikkert(0.5) sikker/sikker(0.1) sikkert/sikkår(0.1) sikkert/sikkårt(0.1) sikkert/sikker(0.1) sikkert/sikkart(0.0) sikkert/sikkar(0.0) sikkert/sikket(0.0) sikkert/sikkært(0.0) below_threshold(0.1)
142	<SOS>ja/ja<SEP>jeg/e<EOS>	0.05	1	15	
143	åŋŋe	0.05	1	34	mange/måŋŋe(0.5) mange/måŋŋen(0.2) ganger/gåŋŋe(0.1) gangen/gåŋŋen(0.0) lang/låŋŋe(0.0) below_threshold(0.2)
144	<SEP>pɽa	0.05	0	-26	plass/pɽass(0.4) plasser/pɽassa(0.2) below_threshold(0.4)
145	<SEP>noe	0.05	1	18	noe/noe(0.7) noen/noen(0.2) noen/noe(0.0) below_threshold(0.0)
146	små<SEP>	0.05	0	21	små/små(1.0) below_threshold(0.0)
147	ʂæ	0.05	0	-10	forskjellige/fåʂælli(0.1) below_threshold(0.9)
148	ællt<SEP>	0.04	0	17	helt/hællt(0.4) heilt/hællt(0.2) spesielt/spesiællt(0.2) below_threshold(0.2)
149	<SEP>ʂle	0.04	0	-22	slik/ʂlek(0.3) below_threshold(0.7)
150	<SOS>det/da<SEP>var/va<EOS>	0.04	2	98	
151	kve	0.04	1	13	hver/kver(0.2) kveld/kvell(0.1) kvelden/kvelln̩(0.1) kveldene/kvelldane(0.1) kvelden/kvelldn̩(0.1) ikveld/ikvell(0.1) below_threshold(0.5)
152	<SOS>for/fø<EOS>	0.04	1	15	
153	net	0.04	0	20	nett/nett(0.3) nettopp/nettåpp(0.2) nettet/nette(0.1) nettopp/nettopp(0.1) below_threshold(0.3)
154	<SOS>for/få<EOS>	0.04	2	24	
155	ænnt	0.04	1	20	sentrum/sænntrum(0.1) omtrent/omtrænnt(0.1) enten/ænntn̩(0.1) jenter/jænnte(0.1) below_threshold(0.7)
156	<SOS>som/so<EOS>	0.04	2	93	
157	sei	0.04	1	-10	si/sei(0.5) sier/seie(0.2) seksten/seistn̩(0.1) seg/sei(0.0) sier/sei(0.0) si/seia(0.0) below_threshold(0.1)
158	av<SEP>	0.04	2	25	av/av(1.0) utav/utav(0.0) har/hav(0.0) krav/krav(0.0) below_threshold(0.0)
159	løy	0.04	1	28	løye/løye(0.2) løyent/løye(0.1) below_threshold(0.7)
160	<SOS>før/før<EOS>	0.04	2	2	
161	dæi<SEP>	0.04	7	66	de/dæi(0.9) dem/dæi(0.1) det/dæi(0.0) below_threshold(0.0)
162	jynn	0.04	1	62	begynte/bjynnte(0.2) begynner/bjynne(0.1) begynne/bjynna(0.1) begynt/bjynnt(0.1) begynte/bjynnt(0.1) begynner/bjynna(0.1) begynte/bjynnde(0.0) begynte/bejynnte(0.0) begynner/bjynnde(0.0) begynner/bjynn(0.0) below_threshold(0.2)
163	<SEP>væɽ	0.04	0	-27	vel/væɽ(1.0) below_threshold(0.0)
164	<SEP>bl	0.04	5	33	blir/bli(0.3) blei/blæi(0.2) blir/blir(0.1) bli/bli(0.1) blitt/blitt(0.1) blei/blei(0.0) blir/bler(0.0) ble/ble(0.0) blant/blannt(0.0) ble/blei(0.0) below_threshold(0.1)
165	ʂu	0.04	1	2	sju/ʂu(0.4) sjuende/ʂuene(0.1) below_threshold(0.6)
166	<SOS>si/sæi<EOS>	0.04	2	49	
167	çem	0.04	1	14	kommer/çem(0.4) kommer/çeme(0.2) kommer/çemm(0.1) kjempefint/çemmpefint(0.0) kjempebra/çemmpebra(0.0) kjempe/çemmpe(0.0) below_threshold(0.2)
168	<SEP>nes	0.04	1	9	nesten/nesstn̩(0.5) neste/nesste(0.3) below_threshold(0.2)
169	ʧe	0.04	8	93	ikke/ʧe(0.4) ikke/itʧe(0.3) mye/mytʧe(0.1) mye/møʧe(0.0) kjekt/ʧekkt(0.0) kommer/ʧeme(0.0) mye/myʧe(0.0) kommer/ʧem(0.0) kjenner/ʧenne(0.0) kjæledyr/ʧeledyr(0.0) mye/møtʧe(0.0) tenker/tennʧe(0.0) tykker/tytʧe(0.0) kjente/ʧennde(0.0) kjedelig/ʧedeli(0.0) below_threshold(0.1)
170	iʂ	0.04	1	41	ikke/iʂʂe(0.6) hos/iʂå(0.0) below_threshold(0.4)
171	ai	0.04	1	37	nei/nai(0.1) veit/vait(0.1) mai/mai(0.1) de/dai(0.0) mer/mai(0.0) greit/graitt(0.0) below_threshold(0.6)
172	<SEP>sl	0.04	3	57	slik/slik(0.1) slutta/slutta(0.1) slo/slo(0.1) slå/slå(0.1) slutt/slutt(0.1) slags/slakks(0.0) slik/slek(0.0) slutten/sluttn̩(0.0) slikt/slikkt(0.0) slipper/sleppe(0.0) slår/slår(0.0) slapp/slapp(0.0) slått/slått(0.0) slutt/slott(0.0) slekt/slekkt(0.0) slutta/slotta(0.0) slutte/slutte(0.0) slåball/slåball(0.0) slipper/slepp(0.0) slags/slass(0.0) slike/slike(0.0) below_threshold(0.4)
173	<SEP>ra	0.04	1	-9	det/ra(0.6) da/ra(0.1) rart/rart(0.1) rad/ra(0.0) rente/rannt(0.0) below_threshold(0.2)
174	par	0.04	1	8	par/par(0.3) paradis/paradis(0.0) sparka/sparrka(0.0) halvparten/hallparrtn̩(0.0) below_threshold(0.6)
175	io	0.04	1	24	tida/tio(0.2) sida/sio(0.1) periode/pæriode(0.1) below_threshold(0.7)
176	<SEP>spø	0.04	1	6	spør/spørr(0.1) spørre/spørr(0.1) spør/spør(0.1) spørs/spørrs(0.1) spørs/spøʂʂ(0.1) spørsmål/spørrsmål(0.1) spørsmål/spøʂʂmål(0.1) below_threshold(0.4)
177	<SEP>jørr	0.04	0	17	gjør/jørr(0.6) gjøre/jørr(0.3) below_threshold(0.1)
178	spel	0.04	1	10	spilte/spelte(0.1) spille/spela(0.1) spiller/spela(0.1) spelte/spelte(0.1) spiller/spele(0.1) spilt/spelt(0.1) speller/spela(0.1) spelte/spellte(0.0) spelle/spela(0.0) below_threshold(0.4)
179	<SOS>liksom/lissåm<EOS>	0.04	1	-8	
180	emmpe	0.04	1	19	foreksempel/fårreksemmpel(0.3) foreksempel/fårresemmpel(0.1) foreksempel/fårrsemmpel(0.0) kjempefint/çemmpefint(0.0) foreksempel/fåsemmpel(0.0) kjempebra/çemmpebra(0.0) kjempe/çemmpe(0.0) below_threshold(0.5)
181	<SEP>femm	0.04	1	24	fem/femm(0.5) femti/femmti(0.2) femten/femmtn̩(0.1) femte/femmte(0.0) below_threshold(0.1)
182	ʂe<SEP>	0.04	4	16	ikke/ʂe(0.5) kanskje/kannʂe(0.3) ikke/iʂʂe(0.1) skje/ʂe(0.0) etasje/etaʂe(0.0) mye/myʂʂe(0.0) ikke/tʂe(0.0) beskjed/beʂe(0.0) below_threshold(0.1)
183	<SEP>ann	0.04	6	12	han/ann(0.6) andre/anndre(0.2) en/ann(0.1) an/ann(0.1) anna/anna(0.0) annet/annt(0.0) andre/anndra(0.0) annen/anna(0.0) annen/ann(0.0) ham/ann(0.0) andre/annre(0.0) man/ann(0.0) annet/anna(0.0) annerledes/annlæis(0.0) annet/ann(0.0) below_threshold(0.1)
184	åb	0.04	2	6	jobb/jåbb(0.2) jobba/jåbba(0.1) jobber/jåbba(0.1) jobber/jåbbe(0.1) jobbe/jåbbe(0.1) jobbe/jåbba(0.0) jobben/jåbben(0.0) forbi/fåbi(0.0) jobber/jåbber(0.0) håper/håbe(0.0) mobba/måbba(0.0) slåball/slåball(0.0) jobbet/jåbbde(0.0) below_threshold(0.4)
185	åmmer	0.04	0	-25	kommer/kåmmer(0.7) below_threshold(0.3)
186	usska	0.04	1	33	husker/husska(0.9) huske/husska(0.1) below_threshold(0.1)
187	egg<SEP>	0.04	0	16	jeg/egg(0.2) tillegg/tillegg(0.2) legger/legg(0.1) seg/segg(0.1) below_threshold(0.5)
188	ob	0.04	1	21	problem/problem(0.2) jobb/jobb(0.1) jobber/jobba(0.1) jobba/jobba(0.1) jobbe/jobbe(0.0) problemet/probleme(0.0) ihop/ihob(0.0) problem/probɽem(0.0) oktober/oktober(0.0) below_threshold(0.4)
189	ja<SEP>	0.04	34	-1	ja/ja(1.0) nja/nja(0.0) sitte/siddja(0.0) below_threshold(0.0)
190	amm<SEP>	0.04	1	5	fram/framm(0.6) sammen/samm(0.1) lam/lamm(0.1) below_threshold(0.2)
191	<SEP>vætt	0.04	1	53	vet/vætt(0.8) veit/vætt(0.1) blir/vætt(0.1) below_threshold(0.1)
192	kam	0.04	0	7	kamp/kammp(0.1) below_threshold(0.9)
193	<SEP>bli	0.04	3	33	blir/bli(0.6) bli/bli(0.2) blir/blir(0.1) blitt/blitt(0.1) below_threshold(0.0)
194	<SEP>iŋŋ	0.04	1	8	ingen/iŋŋen(0.4) ingenting/iŋŋentiŋŋ(0.2) ikke/iŋŋçe(0.2) ingenting/iŋŋentiŋ(0.0) ingen/iŋŋjen(0.0) below_threshold(0.1)
195	sikk	0.04	2	14	sikkert/sikkert(0.3) sikker/sikker(0.1) sikkert/sikkår(0.1) musikk/musikk(0.1) sikkert/sikkårt(0.1) sikkert/sikker(0.0) fysikk/fysikk(0.0) sikkert/sikkart(0.0) utsikt/utsikkt(0.0) sikkert/sikkar(0.0) sikkert/sikket(0.0) sikkert/sikkært(0.0) below_threshold(0.3)
196	årrd	0.04	0	8	fordi/fårrdi(0.3) fordel/fårrdel(0.1) orden/årrdn̩(0.1) fordi/fårrde(0.1) below_threshold(0.3)
197	<SEP>deg	0.04	1	63	deg/deg(1.0) below_threshold(0.0)
198	mess	0.04	1	21	mest/messt(0.4) mest/messte(0.1) meste/messte(0.1) meste/messta(0.1) nesten/messte(0.1) nesten/messtn̩(0.0) nesten/messt(0.0) below_threshold(0.2)
199	vanns	0.04	0	4	vanskelig/vannskli(0.4) vanskelig/vannskeli(0.2) vanskelig/vannskle(0.1) vanskelig/vannskele(0.1) below_threshold(0.2)
