INDEX	FEATURE	IMPORTANCE	REPRESENTATIVENESS	SPECIFICITY	CONTEXT
155	<SEP>itte	0.04	6	84	ikke/itte(1.0) below_threshold(0.0)
156	<SEP>veit	0.04	0	18	veit/veit(0.8) veit/veitt(0.2) below_threshold(0.0)
157	<SOS>er/æ<SEP>det/re<EOS>	0.04	2	100	
158	dere<SEP>	0.04	1	50	dere/dere(0.7) videre/videre(0.1) studere/studere(0.1) below_threshold(0.1)
159	<SOS>her/hær<SEP>og/å<EOS>	0.04	0	37	
160	<SEP>off	0.04	0	23	uff/off(0.9) below_threshold(0.1)
161	amma	0.04	1	38	samme/samma(0.3) mamma/mamma(0.2) gammal/gammal(0.1) gammalt/gammalt(0.1) gammel/gammal(0.1) sommeren/sammarn(0.0) below_threshold(0.2)
162	<SEP>mor	0.04	1	50	mor/mor(0.5) moro/morro(0.3) moro/moro(0.1) mora/morra(0.1) mora/mora(0.0) below_threshold(0.1)
163	parr	0.04	0	38	sparka/sparrka(0.1) paradis/parradis(0.1) spark/sparrk(0.1) par/parr(0.1) below_threshold(0.7)
164	øtt<SEP>	0.04	1	53	født/føtt(0.3) godt/gøtt(0.2) støtt/støtt(0.1) flytta/fɽøtt(0.1) hva/høtt(0.0) nødt/nøtt(0.0) flytter/fɽøtt(0.0) kjøtt/çøtt(0.0) below_threshold(0.2)
165	ø<SEP>	0.04	3	36	og/ø(0.3) så/sø(0.2) gjør/jø(0.1) for/fø(0.1) snø/snø(0.1) å/ø(0.1) sjø/ʂø(0.0) før/fø(0.0) du/dø(0.0) òg/ø(0.0) skal/skø(0.0) kø/kø(0.0) ø/ø(0.0) miljø/milljø(0.0) vært/vø(0.0) miljø/miljø(0.0) vi/mø(0.0) hvor/kø(0.0) du/ø(0.0) rød/rø(0.0) dere/dø(0.0) hva/kø(0.0) hva/hø(0.0) below_threshold(0.1)
166	rra	0.04	1	41	være/værra(0.2) gjøre/jørra(0.1) morgenen/mårran(0.1) imorgen/imårra(0.1) mora/morra(0.1) foran/fårran(0.0) være/verra(0.0) paradis/parradis(0.0) gjøre/jærra(0.0) below_threshold(0.3)
167	<SOS>kom/kåmm<EOS>	0.04	2	30	
168	mmer<SEP>	0.04	2	49	kommer/kåmmer(0.6) stemmer/stemmer(0.1) sommer/såmmer(0.1) tømmer/tømmer(0.0) stemmer/stæmmer(0.0) kommer/kommer(0.0) nummer/nommer(0.0) below_threshold(0.1)
169	ess	0.04	6	36	nesten/nesstn̩(0.1) mest/messt(0.1) neste/nesste(0.0) disse/dessa(0.0) spesielt/spessielt(0.0) fleste/fɽesste(0.0) hest/hesst(0.0) best/besst(0.0) spesielt/spessiellt(0.0) messom/messomm(0.0) beste/besste(0.0) disse/essa(0.0) bestemor/besstemor(0.0) meste/messte(0.0) resten/resstn̩(0.0) nesten/nessn̩(0.0) bestefar/besstefar(0.0) spesiell/spessiell(0.0) hesten/hesstn̩(0.0) spesielle/spessielle(0.0) disse/desse(0.0) forresten/fåresstn̩(0.0) fest/fesst(0.0) reiste/resste(0.0) hester/hesster(0.0) yes/jess(0.0) nesten/nessten(0.0) annerledes/annʂless(0.0) below_threshold(0.4)
170	triv	0.04	0	30	trives/trives(0.2) trives/trivas(0.1) trivelig/triveli(0.1) trivelig/trivele(0.1) below_threshold(0.5)
171	<SOS>skulle/skulle<EOS>	0.04	1	54	
172	<SEP>åi	0.04	0	38	oi/åi(1.0) below_threshold(0.0)
173	<SEP>eŋŋ	0.04	0	42	egentlig/eŋŋkli(0.3) enkelt/eŋŋkelt(0.2) enkelte/eŋŋkelte(0.1) enkel/eŋŋkel(0.1) engelsk/eŋŋelsk(0.1) below_threshold(0.4)
174	æff	0.04	0	31	derfor/dæffår(0.2) herfra/hæffra(0.2) derfra/dæffra(0.1) below_threshold(0.4)
175	øl	0.04	2	24	holdt/høllt(0.1) holde/hølle(0.0) føler/føle(0.0) selvfølgelig/seføllgli(0.0) stølen/støln̩(0.0) følte/følte(0.0) føler/føler(0.0) sjøl/ʂøl(0.0) selvfølgelig/selføllgeli(0.0) selvfølgelig/selføllgli(0.0) følge/følle(0.0) holder/høll(0.0) selvfølgelig/seføllgeli(0.0) below_threshold(0.6)
176	<SOS>var/va<SEP>det/re<EOS>	0.04	2	95	
177	issk	0.04	1	33	fisk/fissk(0.2) fiske/fisske(0.1) fiska/fisska(0.1) below_threshold(0.6)
178	<SEP>çæm	0.04	1	18	kommer/çæmm(0.5) kommer/çæm(0.4) below_threshold(0.1)
179	uɽe	0.04	1	66	skole/skuɽe(0.3) below_threshold(0.7)
180	<SEP>fɽøt	0.04	1	51	flytta/fɽøtta(0.2) flytte/fɽøtta(0.1) flytte/fɽøtte(0.1) flytta/fɽøtt(0.1) flytta/fɽøtte(0.1) flytter/fɽøtt(0.1) flytter/fɽøtter(0.0) fløtinga/fɽøtiŋa(0.0) below_threshold(0.1)
181	asst	0.04	1	25	fast/fasst(0.2) kaste/kasste(0.1) kasta/kassta(0.1) kasta/kasste(0.1) below_threshold(0.5)
182	æin	0.04	4	40	en/æin(0.5) men/mæinn(0.1) den/dæinn(0.0) kan/kæinn(0.0) aleine/alæine(0.0) ene/æine(0.0) stein/stæin(0.0) en/æinn(0.0) seint/sæint(0.0) eneste/æinaste(0.0) rein/ræin(0.0) seinere/sæinere(0.0) meiner/mæine(0.0) below_threshold(0.3)
183	ʂer<SEP>	0.04	0	29	skjer/ʂer(0.6) ser/ʂer(0.1) below_threshold(0.3)
184	utte	0.04	1	53	gutter/gutter(0.2) minutter/minutter(0.1) slutte/ʂlutte(0.1) minutter/menutter(0.1) huttetu/huttetu(0.1) below_threshold(0.5)
185	prate	0.04	1	52	prate/prate(0.4) prater/prater(0.2) prater/prate(0.2) prata/prate(0.1) below_threshold(0.0)
186	ger<SEP>	0.04	1	61	ligger/ligger(0.4) dager/dager(0.1) legger/legger(0.1) bygger/bygger(0.1) lager/lager(0.0) diger/diger(0.0) below_threshold(0.2)
187	<SEP>dom	0.04	2	72	de/domm(0.6) dem/domm(0.3) dumt/dommt(0.0) below_threshold(0.0)
188	urn<SEP>	0.04	0	47	skolen/skuurn(0.3) naturen/natturn(0.1) turen/turn(0.1) below_threshold(0.5)
189	dræ	0.04	0	42	dreiv/dræiv(0.8) below_threshold(0.2)
190	<SOS>er/ær<SEP>det/de<EOS>	0.04	3	99	
191	<SEP>ræ	0.04	2	33	det/ræ(0.5) de/ræi(0.1) reise/ræise(0.1) deg/ræ(0.0) rett/rætt(0.0) reiste/ræiste(0.0) dem/ræi(0.0) reiser/ræiser(0.0) reise/ræse(0.0) rein/ræin(0.0) den/rænn(0.0) reiser/ræise(0.0) reiste/ræisste(0.0) regna/ræŋŋne(0.0) reist/ræist(0.0) below_threshold(0.2)
192	ig<SEP>	0.04	0	31	veldig/velldig(0.2) krig/krig(0.1) below_threshold(0.8)
193	oɽ	0.04	3	58	skole/skoɽe(0.1) gjorde/joɽe(0.1) ifjor/ifjoɽ(0.1) ord/oɽ(0.1) gjorde/joɽ(0.0) barneskole/barneskoɽe(0.0) jordet/joɽe(0.0) nord/noɽ(0.0) nordover/noɽåver(0.0) jorda/joɽa(0.0) skolen/skoɽa(0.0) skoler/skoɽer(0.0) jord/joɽ(0.0) jordbruk/joɽbruk(0.0) sol/soɽ(0.0) sola/soɽa(0.0) ungdomsskole/oŋŋdåmskoɽe(0.0) nordi/noɽi(0.0) bord/boɽ(0.0) below_threshold(0.4)
194	ile	0.04	1	25	heile/hæile(0.5) biler/biler(0.1) tidlig/tile(0.1) heile/heile(0.0) below_threshold(0.3)
195	renn	0.04	1	39	omtrent/omtrennt(0.2) den/renn(0.1) omtrent/åmtrennt(0.1) grensa/grennsa(0.0) langrenn/laŋŋrenn(0.0) below_threshold(0.5)
196	ko<SEP>	0.04	1	24	noe/nokko(0.3) noe/noko(0.2) hva/ko(0.2) hvor/ko(0.1) noe/nåkko(0.0) skulle/sko(0.0) noen/nokko(0.0) noen/noko(0.0) below_threshold(0.1)
197	kar<SEP>	0.04	0	32	skal/skar(0.5) kar/kar(0.1) below_threshold(0.4)
198	råd	0.04	0	32	rådyr/rådyr(0.2) området/ommråde(0.1) grådig/grådi(0.1) område/ommråde(0.1) området/åmmråde(0.1) below_threshold(0.5)
199	veit	0.04	0	17	veit/veit(0.8) veit/veitt(0.2) below_threshold(0.0)
